pair;contrast;p(tukey);p(snk);p(duncan);p(t)
04/mar;22;8.00E-04;2.00E-04;2.00E-04;2.00E-04
04/fev;39;0;0;0;0
04/jan;49;0;0;0;0
03/fev;17;0.0042;9.00E-04;9.00E-04;9.00E-04
03/jan;27;2.00E-04;1.00E-04;1.00E-04;0
02/jan;10;0.0672;0.0173;0.0173;0.0173
